GENERAL;;;;;GITHUB;GITHUB;RAILWAY;;;;;;;
GL-023;NotariaIQ;Juan Sotelo Aguilar;Sí;MockUp para un LLM adaptado con RAG de conocimientos notariales;https://github.com/GovLabSabana/NotariaIQ ;GovLab;NotariaIQ;Activo;GovLab;https://notariaiq-production.up.railway.app/;;;;
GL-041;Paralelo;Tomás Barón;Sí;Herramienta de comparación de textos jurídicos;https://github.com/GovLabSabana/Paralelo ;GovLab;Paralelo;En mantenimiento;GovLab;paralelo.up.railway.app;;;;
GL-009;PitchLab Entrenamiento;Juan Sotelo Aguilar;Sí;Herramienta de la Línea PitchLab para el entrenamiento de conversaciones en voz en vivo, adaptado para negociaciones políticas, comerciales o académicas;https://github.com/Juansotag/Avatar_entrenamiento ;Juan Sotelo Aguilar;Avatar_entrenamiento;Activo;Juan Sotelo Aguilar;https://avatarentrenamiento.up.railway.app/;;;;
GL-025;PitchLab Med;Juan Sotelo Aguilar;Sí;Plataforma para la práctica de pitch médicos con medidas de rigurosidad INVIMA;https://github.com/Juansotag/PitchLab360-comercial ;Juan Sotelo Aguilar;PitchLab360-comercial;Activo;GovLab;https://pitchlab-med.up.railway.app/;;;;
GL-024;Pitchlab360;Juan Sotelo Aguilar;Sí;Herramienta de análisis de discurso usando herramientas paramétricas y no paramétricas, usado y probado con Candidatos Presidenciales de Colombia 2026;https://github.com/Juansotag/PitchLab360;Juan Sotelo Aguilar;PitchLab360;Activo;GovLab;https://pitchlab360-production.up.railway.app/;;;;
GL-045;PoliciaAmbiental;Tomás Barón;Sí;Chatbot para facilitar conocimientos de jurisprudencia para la policía ambiental de Colombia;https://github.com/GovLabSabana/Policia_ambiental;GovLab;Policia_ambiental;En mantenimiento;GovLab;;;;;
GL-001;PoliciApp;Tomás Barón;Sí;Chatbot para facilitar conocimientos de jurisprudencia para la policía ambiental de Colombia;https://github.com/GovLabSabana/Police_asistant;GovLab;Police_asistant;En mantenimiento;GovLab;;;;;
GL-002;PoliciApp Eco;Tomás Barón;Sí;Chatbot para facilitar conocimientos de jurisprudencia para la policía ambiental de Colombia;https://github.com/GovLabSabana/PoliciApp-Eco;GovLab;PoliciApp-Eco;En mantenimiento;GovLab;;;;;
GL-042;PoliciAppEco-2;Samuel Ramírez;Sí;Chatbot para facilitar conocimientos de jurisprudencia para la policía ambiental de Colombia;https://github.com/GovLabSabana/PoliciApp-Eco2 ;GovLab;PoliciApp-Eco2;En mantenimiento;GovLab;;;;;
GL-038;Polycheck;Juan Sotelo Aguilar;Sí;Extensión de Google Chrome que realiza fact-checking en tiempo real de videos y directos, al igual que análisis de discurso;https://github.com/Juansotag/Polycheck;Juan Sotelo Aguilar;NA;NA;GovLab;NA;;;;
GL-018;Portafolio Govlab;Juan Sotelo Aguilar;Sí;Portafolio del GovLab;https://github.com/Juansotag/Portafolio_Govlab ;Juan Sotelo Aguilar;Portafolio_Govlab;Activo;GovLab;https://govlab.up.railway.app/ ;;;;
GL-026;Radica Notaría;Juan Sotelo Aguilar;Sí;MockUp para plataforma de radicación notarial;https://github.com/GovLabSabana/Radica_notaria ;GovLab;Radica_notaria;Activo;GovLab;https://radicanotaria-production.up.railway.app/;;;;
GL-014;Resume Expendientes;Juan Sotelo Aguilar;Sí;Herramienta para resumir expedientes directivos y dirigir decisiones de alto gobierno;https://github.com/Juansotag/resumidor-expedientes;Juan Sotelo Aguilar;resumidor-expedientes;Activo;GovLab;https://expedientes.up.railway.app/;;;;
GL-027;Sabana Centro Sostenible;Juan Sotelo Aguilar;Sí;Herramienta de análisis y comparación de planes de desarrollo de municipios de Sabana Centro y su alineación con el plan Sabana Centro Sostenible, desarrollado por Sabana Centro Como Vamos de la Universidad de la Sabana;https://github.com/GovLabSabana/SCS_V2;GovLab;SCS_V2;Activo;GovLab;https://sabanacentrosostenible.up.railway.app/ ;;;;
GL-003;Sabius;Samuel Ramírez;Sí;Asistente de voz autónomo con capacidad de lectura de bases de datos para ayudar a funcionarios del ConvergenceLab encontrar aliados, investigaciones relevantes entre otros. ;https://github.com/samyrami/ConvergenceLAb ;Samuel Ramírez;ConvergenceLAb;En mantenimiento;GovLab;convergencelab.up.railway.app ;;;;
GL-043;TermoExportador;Samuel Ramírez;Sí;Bot para calificación de capacidad exportadora de productores de Aguacate Hass;https://github.com/samyrami/exporta-facil-bot ;Samuel Ramírez;TermoExportador;En mantenimiento;GovLab;https://bot-sostenibilidad-esg.up.railway.app/;;;;
GL-029;Test 9 ejes Colombia;Juan Sotelo Aguilar;Sí;Primer Test ideológico que usa el esquema de 9 ejes en Colombia;https://github.com/GovLabSabana/Test_9ejesColombia;GovLab;Test_9ejesColombia;Activo;GovLab;https://test9col.up.railway.app/;;;;
GL-012;Test Dilema;Juan Sotelo Aguilar;Sí;Test ideológico para la asignación de candidatos presidenciales para las elecciones del 2026;https://github.com/Juansotag/test-dilema;Juan Sotelo Aguilar;test-dilema;Activo;GovLab;https://convergencia-electoral.up.railway.app/ ;;;;
GL-035;TTS-Avatar;Juan Sotelo Aguilar;Sí;RAG basado en discursos de Youtube del candidato Iván Cepeda;https://github.com/Juansotag/TTS_Avatar;Juan Sotelo Aguilar;NA;NA;GovLab;NA;;;;
GL-044;Universia;Juan Sotelo Aguilar;Sí;Bot para calificación del nivel de sostenibilidad universitaria en Iberoamérica;https://github.com/GovLabSabana/Universia ;GovLab;Universia;Activo;GovLab;https://bot-sostenibilidad-esg.up.railway.app/;;;;
